,Country,Happiness_score,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,Country_Code,2017,Hours
91,Indonesia,5.192,4.1,8.1,7.5,3.9,7,7.5,7.5,8.3,4.9,9.7,6.9,6.5,IDN,4.184999943,41.3774
92,China,5.191,4.7,9.3,5,3.7,1.5,5.2,9,4.7,5.6,8.5,6.8,6.5,CHN,4.400000095,
93,Vietnam,5.175,4.9,9.4,5,5.9,1.5,5.8,9.2,6.7,5,6.7,6.3,6.7,VNM,1.886000037,
94,Bhutan,5.082,6.2,9.6,3.3,7.3,-,7.3,0.8,6.9,6.4,6.8,6.3,7.5,BTN,2.170000076,
95,Cameroon,5.044,3,8.1,2.5,7.9,5.5,6.8,3.8,6.9,3.2,7.3,5.2,6.6,CMR,3.358999968,44.8946
96,Bulgaria,5.011,4.9,9.8,10,7.1,9.5,8.8,8.2,7.1,5.3,9.4,8.1,7.7,BGR,6.164000034,
97,Ghana,4.996,5.7,8.2,10,8.1,7.5,8.8,3.8,8,5.2,5.9,6.6,7.2,GHA,6.629000187,33.972
98,Ivory Coast,4.944,,,,,,,,,,,,,CIV,,
99,Nepal,4.913,4.3,9.1,8.3,5.2,5,6.7,6.7,7.2,4.5,6.8,6.6,7.2,NPL,1.253000021,44.494
100,Jordan,4.906,5.8,8,5,6.3,5,6.6,5,7.6,4.8,9.5,7.5,7.8,JOR,14.87899971,
101,Benin,4.883,4.2,8.7,5.8,9.4,9.5,9,8.8,7.1,4.2,6.7,6.1,6.4,BEN,2.180000067,
102,Congo (Brazzaville),4.812,,,,,,,,,,,,,COG,,
103,Gabon,4.799,4.1,8.2,2.5,8.9,4,6.2,8.8,6.3,4.2,6.1,5.9,6.8,GAB,19.37400055,
104,Laos,4.796,3.8,8.5,5,6.7,0.5,5.8,8.8,6.3,5.6,7.4,7.5,6.5,LAO,,
105,South Africa,4.722,5.7,5.9,10,9.4,10,8.9,8.2,5.8,5,8.2,6.9,7.2,ZAF,27.32699966,43.4451
106,Albania,4.719,5.3,9.3,10,9.2,10,8.6,5.8,7.5,5.1,9.6,8.3,7.8,ALB,13.75,38.83751785
107,Venezuela,4.707,2.1,6.3,6.7,6.9,6.5,5.1,4.2,4.6,2,0.7,3.2,2.5,VEN,,
108,Cambodia,4.7,2.6,8.8,7.5,8.3,7.5,7.7,8.8,9.1,4.4,9.3,7.3,7,KHM,1.062000036,45.2951
109,Palestinian Territories,4.696,,,,,,,,,,,,,PSE,,
110,Senegal,4.681,4.7,7.5,8.3,9,10,8.3,3.8,7,4.3,7.2,6.7,5.6,SEN,6.436999798,
111,Somalia,4.668,,,,,,,,,,,,,SOM,13.91300011,
112,Namibia,4.639,5.6,7.1,7.5,8.7,7,8.3,6.5,5.7,6.4,6.5,6.5,7.7,NAM,23.08799934,45.5042
113,Niger,4.628,4.1,6.8,8.3,7.8,5.5,5.3,5,6.2,3.7,7.1,5.6,6.5,NER,0.284999996,35.8863
114,Burkina Faso,4.587,4.9,7.9,10,8,7.5,7.7,8.8,5.7,4.3,7,6.5,6.9,BFA,6.014999866,
115,Armenia,4.559,4.9,9.1,8.3,6.2,6.5,7.2,8.2,7.4,5.9,9.5,8.2,7.5,ARM,17.82699966,38.7329
116,Iran,4.548,4.4,7.1,0,4.3,4,5.4,2.3,5.5,4.6,8,4.9,5.6,IRN,,
117,Guinea,4.534,3.2,5.8,6.7,8.5,9,6.9,0,5.4,3.2,7.8,5.9,6.9,GIN,3.572000027,
